CTYNAME,YEAR,CTYCODE,MIDTERM,TOTVOTERS,SOCIALCAP.Religious2014,SOCIALCAP.Civic2014,SOCIALCAP.Business2014,SOCIALCAP.Political2014,SOCIALCAP.Professional2014,SOCIALCAP.Labor2014,SOCIALCAP.Bowling2014,SOCIALCAP.Recreational2014,SOCIALCAP.Golf2014,SOCIALCAP.Sports2014,SOCIALCAP.pop2014,SOCIALCAP.assn2014,SOCIALCAP.pvote2012,SOCIALCAP.respn2010,SOCIALCAP.nccs2014,SOCIALCAP.sk2014,SOCIALCAP.relig09,SOCIALCAP.civic09,SOCIALCAP.bus09,SOCIALCAP.pol09,SOCIALCAP.prof09,SOCIALCAP.labor09,SOCIALCAP.bowl09,SOCIALCAP.fitns09,SOCIALCAP.golf09,SOCIALCAP.sport09,SOCIALCAP.pop09,SOCIALCAP.respn10,SOCIALCAP.pvote08,SOCIALCAP.nccs09,SOCIALCAP.assn09,SOCIALCAP.sk09,HOUSE.Congress (Years),HOUSE.# of House Seats,HOUSE.Democrats,HOUSE.Republicans,HOUSE.Other,HOUSE.Del./Res.,SENATE.Session,SENATE.Total Seats,SENATE.Democrat,SENATE.Republican,SENATE.Other Parties,STATELEGIS.Session,STATELEGIS.House,STATELEGIS.Senate,STATELEGIS.Governor,VOTE_ELI.HD01_VD09,VOTE_ELI.HD01_VD11,VOTE_ELI.HD01_VD20,VOTE_ELI.HD01_VD22,VOTE_ELIGIBLE,Citizen: Total,Citizen: US Born,Citizen: Puerto Rico/US Islands Born,Citizen: Born Abroad,Citizen: Naturalization,Not Citizen,Percent Married,Percent Divorced,POPULATION,WHITE,BLACK,INDIAN,ASIAN,HAWAIIAN,OTHERS,X1,TOTALMALE,TOTALFEMALE,AGE2024_TOTAL,AGE2024_MALE,AGE2024_FEMALE,AGE2529_TOTAL,AGE2529_MALE,AGE2529_FEMALE,AGE18ABOVE,POPULATION 18-24,HIGHSCHOOL DEGREE,BACHELOR'S DEGREE,POPULATION >25,HIGHSCHOOL DEGREE >25,BACHELOR'S DEGREE >25,GRADUATE DEGREE >25,INCOME.GEO.id,INCOME.GEO.id2,INCOME.GEO.display-label,INCOME.HC01_EST_VC01,INCOME.HC01_MOE_VC01,INCOME.HC02_EST_VC01,INCOME.HC02_MOE_VC01,INCOME.HC03_EST_VC01,INCOME.HC03_MOE_VC01,INCOME.HC04_EST_VC01,INCOME.HC04_MOE_VC01,INCOME.HC01_EST_VC02,INCOME.HC01_MOE_VC02,INCOME.HC02_EST_VC02,INCOME.HC02_MOE_VC02,INCOME.HC03_EST_VC02,INCOME.HC03_MOE_VC02,INCOME.HC04_EST_VC02,INCOME.HC04_MOE_VC02,INCOME.HC01_EST_VC03,INCOME.HC01_MOE_VC03,INCOME.HC02_EST_VC03,INCOME.HC02_MOE_VC03,INCOME.HC03_EST_VC03,INCOME.HC03_MOE_VC03,INCOME.HC04_EST_VC03,INCOME.HC04_MOE_VC03,INCOME.HC01_EST_VC04,INCOME.HC01_MOE_VC04,INCOME.HC02_EST_VC04,INCOME.HC02_MOE_VC04,INCOME.HC03_EST_VC04,INCOME.HC03_MOE_VC04,INCOME.HC04_EST_VC04,INCOME.HC04_MOE_VC04,INCOME.HC01_EST_VC05,INCOME.HC01_MOE_VC05,INCOME.HC02_EST_VC05,INCOME.HC02_MOE_VC05,INCOME.HC03_EST_VC05,INCOME.HC03_MOE_VC05,INCOME.HC04_EST_VC05,INCOME.HC04_MOE_VC05,INCOME.HC01_EST_VC06,INCOME.HC01_MOE_VC06,INCOME.HC02_EST_VC06,INCOME.HC02_MOE_VC06,INCOME.HC03_EST_VC06,INCOME.HC03_MOE_VC06,INCOME.HC04_EST_VC06,INCOME.HC04_MOE_VC06,INCOME.HC01_EST_VC07,INCOME.HC01_MOE_VC07,INCOME.HC02_EST_VC07,INCOME.HC02_MOE_VC07,INCOME.HC03_EST_VC07,INCOME.HC03_MOE_VC07,INCOME.HC04_EST_VC07,INCOME.HC04_MOE_VC07,INCOME.HC01_EST_VC08,INCOME.HC01_MOE_VC08,INCOME.HC02_EST_VC08,INCOME.HC02_MOE_VC08,INCOME.HC03_EST_VC08,INCOME.HC03_MOE_VC08,INCOME.HC04_EST_VC08,INCOME.HC04_MOE_VC08,INCOME.HC01_EST_VC09,INCOME.HC01_MOE_VC09,INCOME.HC02_EST_VC09,INCOME.HC02_MOE_VC09,INCOME.HC03_EST_VC09,INCOME.HC03_MOE_VC09,INCOME.HC04_EST_VC09,INCOME.HC04_MOE_VC09,INCOME.HC01_EST_VC10,INCOME.HC01_MOE_VC10,INCOME.HC02_EST_VC10,INCOME.HC02_MOE_VC10,INCOME.HC03_EST_VC10,INCOME.HC03_MOE_VC10,INCOME.HC04_EST_VC10,INCOME.HC04_MOE_VC10,INCOME.HC01_EST_VC11,INCOME.HC01_MOE_VC11,INCOME.HC02_EST_VC11,INCOME.HC02_MOE_VC11,INCOME.HC03_EST_VC11,INCOME.HC03_MOE_VC11,INCOME.HC04_EST_VC11,INCOME.HC04_MOE_VC11,INCOME.HC01_EST_VC13,INCOME.HC01_MOE_VC13,INCOME.HC02_EST_VC13,INCOME.HC02_MOE_VC13,INCOME.HC03_EST_VC13,INCOME.HC03_MOE_VC13,INCOME.HC04_EST_VC13,INCOME.HC04_MOE_VC13,INCOME.HC01_EST_VC15,INCOME.HC01_MOE_VC15,INCOME.HC02_EST_VC15,INCOME.HC02_MOE_VC15,INCOME.HC03_EST_VC15,INCOME.HC03_MOE_VC15,INCOME.HC04_EST_VC15,INCOME.HC04_MOE_VC15,INCOME.HC01_EST_VC18,INCOME.HC01_MOE_VC18,INCOME.HC02_EST_VC18,INCOME.HC02_MOE_VC18,INCOME.HC03_EST_VC18,INCOME.HC03_MOE_VC18,INCOME.HC04_EST_VC18,INCOME.HC04_MOE_VC18,INCOME.HC01_EST_VC19,INCOME.HC01_MOE_VC19,INCOME.HC02_EST_VC19,INCOME.HC02_MOE_VC19,INCOME.HC03_EST_VC19,INCOME.HC03_MOE_VC19,INCOME.HC04_EST_VC19,INCOME.HC04_MOE_VC19,INCOME.HC01_EST_VC20,INCOME.HC01_MOE_VC20,INCOME.HC02_EST_VC20,INCOME.HC02_MOE_VC20,INCOME.HC03_EST_VC20,INCOME.HC03_MOE_VC20,INCOME.HC04_EST_VC20,INCOME.HC04_MOE_VC20,EMPLOY.GEO.id,EMPLOY.GEO.id2,EMPLOY.HC01_EST_VC01,EMPLOY.HC01_MOE_VC01,EMPLOY.HC02_EST_VC01,EMPLOY.HC02_MOE_VC01,EMPLOY.HC03_EST_VC01,EMPLOY.HC03_MOE_VC01,EMPLOY.HC04_EST_VC01,EMPLOY.HC04_MOE_VC01,OCC.HC01_EST_VC01,OCC.HC01_EST_VC02,OCC.HC01_EST_VC03,OCC.HC01_EST_VC04,OCC.HC01_EST_VC05,OCC.HC01_EST_VC06,OCC.HC01_EST_VC07,OCC.HC01_EST_VC08,OCC.HC01_EST_VC09,OCC.HC01_EST_VC10,OCC.HC01_EST_VC11,OCC.HC01_EST_VC12,OCC.HC01_EST_VC13,OCC.HC01_EST_VC14,VOTEPERCENT,OCC.Agriculture,OCC.Construction,OCC.Manufacturing,OCC.WholesaleTrade,OCC.RetailTrade,OCC.Transportation,OCC.Information,OCC.Finance,OCC.Professional,OCC.Education,OCC.Arts,OCC.OtherServices,OCC.PublicAdmin
redwood,2006,64,1,6596,29,8,4,0,0,0,3,2,2,1,15509,3.159455799858147,0.7428952889567042,0.83,165,2.705612347664238,28,7,4,0,0,0,3,0,2,0,16011,0.83,0.6564077,176,2.7481106739116856,2.090175140938555,109th (2005–2007),435,201,233,Independent (1),4/1,109 (2005-2007),100,44,55,1,"84th, 2005-2006",Republican,DFL,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
redwood,2010,64,1,6125,29,8,4,0,0,0,3,2,2,1,15509,3.159455799858147,0.7428952889567042,0.83,165,2.705612347664238,28,7,4,0,0,0,3,0,2,0,16011,0.83,0.6564077,176,2.7481106739116856,2.090175140938555,111th (2009–2011),435,257,178,0,5/1,111 (2009-2011),100,57,41,2,"86th, 2009-2010",DFL,DFL,Republican,5703,65,6057,63,11888,16069,15668,12,54,135,200,58.6,9,16069,14117,104,792,545,0,104,88,7885,8184,4.6,5,4.2,4.8,4.6,4.9,75.1,1120,33.8,10.1,10955,38.5,12.8,3.7,0500000US27127,27127,"Redwood County, Minnesota",6661,145,4417,178,3627,164,2244,155,6.8,1.3,3.4,1.3,1.2,0.5,14.2,3.4,7,1.4,3.5,1.3,2.0,0.9,14.3,3.3,14.1,1.8,9.8,1.9,6.7,1.5,24.6,4.4,11.8,1.7,9.6,1.9,9.6,2.2,16.2,3.9,16.4,2,17.3,2.4,17.6,2.3,14.4,3.3,19.6,1.7,24.3,2.2,26.7,2.3,9.7,2.6,12.8,1.6,17.2,2.6,19.3,2.6,3.8,1.4,7.5,1.2,9.4,1.6,10.4,1.7,2,0.9,1.9,0.7,2.6,1.1,3.0,1.2,0.3,0.4,2.1,0.6,2.9,0.9,3.4,1.1,0.5,0.4,44181,1386,55829,3719,61275,2207,24133,1473,56314,2494,67627,3320,N,N,31556,2350,23.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.1,(X),0500000US27127,27127,12539,52,65.3,1.5,61.5,1.7,5.8,1.2,7711,797,565,1033,312,802,316,116,363,335,1765,690,326,291,0.5152254374158816,0.10335883802360264,0.07327194916353262,0.13396446634677733,0.04046167812216314,0.10400726235248346,0.0409804175852678,0.015043444430035014,0.047075606276747506,0.043444430035014914,0.22889378809492933,0.08948255738555311,0.04227726624302944,0.037738295940863704
redwood,2014,64,1,5578,29,8,4,0,0,0,3,2,2,1,15509,3.159455799858147,0.7428952889567042,0.83,165,2.705612347664238,28,7,4,0,0,0,3,0,2,0,16011,0.83,0.6564077,176,2.7481106739116856,2.090175140938555,113th (2013–2015),435,201,234,0,5/1,113 (2013-2015),100,53,45,2,"88th, 2013-2014",DFL,DFL,DFL,5756,62,5888,64,11770,15834,15372,41,39,151,231,55.8,10.9,15834,14117,104,792,545,0,104,262,7951,7883,4.5,4.6,4.3,5,5.3,4.6,75.6,1123,37.6,10,10848,38.4,12.7,3.6,0500000US27127,27127,"Redwood County, Minnesota",6463,191,4144,199,3401,168,2319,144,4.8,0.9,3.3,1,1.2,0.6,8.7,2.2,6.6,1.1,2.5,1,1.5,0.7,14.6,2.9,11.4,1.3,8,1.3,6.3,1.2,18.6,2.9,12.8,1.7,9.7,1.9,7.3,1.6,18.2,3.3,16.7,1.8,15.7,2,16.2,2.2,18.1,3.1,19.3,1.8,22.3,2.4,23.0,2.7,13,2.6,12.8,1.1,16.9,1.7,20.1,2.0,4.6,1.5,10.4,1.1,14.3,1.6,16.1,1.9,2.9,1.1,2.7,0.6,3.8,0.9,4.3,1.0,0.8,0.4,2.4,0.5,3.5,0.9,4.1,1.0,0.5,0.3,47999,1580,61854,3102,69707,3097,28283,2225,62065,2304,75118,3460,82417,4278,36979,1896,27.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),29,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.7,(X),0500000US27127,27127,12409,39,64.7,1.6,61.5,1.8,5,1.2,7627,859,483,984,311,800,273,78,331,258,1768,789,427,266,0.47391673746813934,0.11262619640749967,0.06332765176347188,0.12901534023862593,0.04077618985184214,0.10489052051920808,0.035793890127179755,0.010226825750622788,0.04339845286482234,0.0338271928674446,0.23180805034744986,0.10344827586206896,0.05598531532712731,0.03487609807263668
renville,2002,65,1,7459,32,6,1,0,1,1,1,0,4,0,15003,3.0660534559754713,0.7789452414629218,0.78,153,2.711971843911033,32,8,1,0,1,3,1,2,4,0,15832,0.78,0.6680079,152,3.284487114704396,2.4086993326518895,107th (2001–2003),435,213,220,Independent (2),4/1,107 (2001-2003),100,50,49,1,"82nd, 2001-2002",Republican,DFL,Reform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
renville,2006,65,1,6820,32,6,1,0,1,1,1,0,4,0,15003,3.0660534559754713,0.7789452414629218,0.78,153,2.711971843911033,32,8,1,0,1,3,1,2,4,0,15832,0.78,0.6680079,152,3.284487114704396,2.4086993326518895,109th (2005–2007),435,201,233,Independent (1),4/1,109 (2005-2007),100,44,55,1,"84th, 2005-2006",Republican,DFL,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
renville,2010,65,1,6364,32,6,1,0,1,1,1,0,4,0,15003,3.0660534559754713,0.7789452414629218,0.78,153,2.711971843911033,32,8,1,0,1,3,1,2,4,0,15832,0.78,0.6680079,152,3.284487114704396,2.4086993326518895,111th (2009–2011),435,257,178,0,5/1,111 (2009-2011),100,57,41,2,"86th, 2009-2010",DFL,DFL,Republican,5962,38,5869,99,11968,16007,15535,18,28,153,273,59.4,7.3,16007,14550,108,134,83,0,339,89,8017,7990,5,5.3,4.8,4.5,5.1,4,76.3,1133,35.6,4.2,11084,38.2,13.6,2.4,0500000US27129,27129,"Renville County, Minnesota",6539,155,4413,133,3710,122,2126,154,6.9,1.1,3.7,1.1,1.6,0.7,14.5,2.7,5.9,1.1,2.5,1,1.3,0.6,13.5,2.6,12.4,1.5,8.2,1.5,6.2,1.1,20.9,3.3,12,1.2,9.3,1.4,7.4,1.3,19,2.8,16,1.5,18.3,1.8,18.0,1.9,11.5,2.3,21.7,1.8,25.4,2.3,28.4,2.6,11.5,2,13,1.2,16.4,1.5,18.6,1.9,5.6,2,8.6,1,11.8,1.3,13.5,1.5,2.2,1.2,2.2,0.5,2.8,0.8,3.3,1.0,0.8,0.5,1.3,0.3,1.7,0.4,1.9,0.5,0.5,0.4,47623,1484,56568,1841,63559,1771,25550,1740,56914,1634,66999,2424,N,N,34058,2320,24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.8,(X),0500000US27129,27129,12735,58,66.4,1.1,62.9,1.3,5.1,1,8016,1102,531,1366,281,717,437,98,373,360,1663,564,277,247,0.5317513368983957,0.1374750499001996,0.06624251497005988,0.17040918163672655,0.03505489021956088,0.08944610778443114,0.05451596806387225,0.01222554890219561,0.04653193612774451,0.04491017964071856,0.20746007984031936,0.07035928143712575,0.03455588822355289,0.030813373253493013
renville,2014,65,1,5783,32,6,1,0,1,1,1,0,4,0,15003,3.0660534559754713,0.7789452414629218,0.78,153,2.711971843911033,32,8,1,0,1,3,1,2,4,0,15832,0.78,0.6680079,152,3.284487114704396,2.4086993326518895,113th (2013–2015),435,201,234,0,5/1,113 (2013-2015),100,53,45,2,"88th, 2013-2014",DFL,DFL,DFL,5878,43,5647,89,11657,15326,14898,4,23,162,239,58,9.5,15326,14550,108,134,83,0,339,263,7754,7572,5,5.1,4.8,4.7,4.9,4.6,77.5,1100,38.8,9.3,10782,37.7,12.5,3.2,0500000US27129,27129,"Renville County, Minnesota",6378,144,4196,164,3476,143,2182,130,5.2,0.8,4.3,1.2,1.1,0.6,11,1.9,6.3,1,2.8,1,1.8,0.8,13.6,2.3,10.3,1.4,5.5,1.1,4.3,0.9,20,3.1,10.9,1.1,9.1,1.4,7.6,1.6,14.1,2.3,15.3,1.2,13.6,1.4,12.9,1.6,15.7,2.2,22.2,1.8,25.2,2.1,27.5,2.3,15.4,3.1,14.1,1.4,18.1,1.8,20.1,2.0,5.3,1.5,10.3,0.9,14,1.3,16.3,1.6,2.9,1.2,2.8,0.5,4,0.8,4.6,0.9,0.6,0.6,2.7,0.4,3.3,0.6,3.8,0.7,1.4,0.7,52000,1901,62315,1879,68950,2026,27250,2513,66128,1963,77582,2730,N,N,41224,3763,29.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.3,(X),0500000US27129,27129,12303,41,65.3,1.1,61.4,1.2,6,1,7550,1130,442,1197,249,665,491,75,296,396,1635,423,316,235,0.49609676589173884,0.14966887417218544,0.0585430463576159,0.1585430463576159,0.03298013245033113,0.0880794701986755,0.06503311258278145,0.009933774834437087,0.03920529801324504,0.052450331125827816,0.2165562913907285,0.05602649006622516,0.04185430463576159,0.031125827814569535
rice,2002,66,1,25161,47,12,6,0,2,2,2,6,4,0,65143,1.2434183258370048,0.7635533259187393,0.83,360,0.18725183393340902,47,17,6,0,3,2,2,5,4,0,63859,0.83,0.6567599,373,1.3467169858594716,0.13352653469950085,107th (2001–2003),435,213,220,Independent (2),4/1,107 (2001-2003),100,50,49,1,"82nd, 2001-2002",Republican,DFL,Reform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rice,2006,66,1,24579,47,12,6,0,2,2,2,6,4,0,65143,1.2434183258370048,0.7635533259187393,0.83,360,0.18725183393340902,47,17,6,0,3,2,2,5,4,0,63859,0.83,0.6567599,373,1.3467169858594716,0.13352653469950085,109th (2005–2007),435,201,233,Independent (1),4/1,109 (2005-2007),100,44,55,1,"84th, 2005-2006",Republican,DFL,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rice,2010,66,1,23478,47,12,6,0,2,2,2,6,4,0,65143,1.2434183258370048,0.7635533259187393,0.83,360,0.18725183393340902,47,17,6,0,3,2,2,5,4,0,63859,0.83,0.6567599,373,1.3467169858594716,0.13352653469950085,111th (2009–2011),435,257,178,0,5/1,111 (2009-2011),100,57,41,2,"86th, 2009-2010",DFL,DFL,Republican,22570,559,21961,494,45584,63087,58939,6,314,1271,2557,50.5,8.8,63087,58410,2297,289,1335,64,1370,90,32082,31005,9.9,10.9,8.9,5.8,6.1,5.4,76,9430,25.4,5.1,38539,33.2,17.1,9.9,0500000US27131,27131,"Rice County, Minnesota",22213,430,15403,444,12386,432,6810,390,4.7,1,3.3,1.2,1.4,0.8,9.4,2.3,4.7,1.1,3,1,1.4,0.8,8.6,2.4,9.7,1.4,6,1.4,3.2,1.0,19.2,3.3,8.1,1.3,5.7,1.1,5.0,1.1,13.1,2.9,14.7,1.7,13,1.7,10.4,1.3,17.9,3.5,22.2,1.6,23.9,2.1,25.3,2.1,17.5,2.9,16.5,1.6,20.5,2.1,23.8,2.2,7,2.1,13.9,1.3,17.5,1.5,20.9,1.8,5.8,2.5,3.3,0.6,4.1,0.8,5.0,1.0,0.7,0.6,2.3,0.5,2.9,0.7,3.5,0.8,0.8,0.5,58771,1780,69796,1922,77189,2021,34581,3407,67869,1702,77590,2356,86732,2546,43378,2706,17.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),17.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.1,(X),0500000US27131,27131,49882,148,69.2,1.2,65.2,1.2,5.7,0.9,32533,833,2429,5490,991,3349,1159,417,1436,1961,10069,2041,1327,1031,0.51504914004914,0.02560477054068177,0.07466265023207205,0.16875172901361693,0.03046137767804998,0.10294162850029201,0.0356253650139858,0.012817754280269265,0.04413979651430855,0.06027725693910798,0.3095011219377248,0.06273629852764885,0.04078935234992162,0.031690898472320414
rice,2014,66,1,21583,47,12,6,0,2,2,2,6,4,0,65143,1.2434183258370048,0.7635533259187393,0.83,360,0.18725183393340902,47,17,6,0,3,2,2,5,4,0,63859,0.83,0.6567599,373,1.3467169858594716,0.13352653469950085,113th (2013–2015),435,201,234,0,5/1,113 (2013-2015),100,53,45,2,"88th, 2013-2014",DFL,DFL,DFL,23494,428,22636,713,47271,64829,60019,78,322,1295,3115,50,8.9,64829,58410,2297,289,1335,64,1370,264,32934,31895,9.9,10.7,9.1,5.4,5.9,4.9,77.2,9771,17.8,4,40278,31,17.5,10.1,0500000US27131,27131,"Rice County, Minnesota",22498,444,15785,442,12517,391,6713,432,5.5,1.1,3.4,1.2,0.7,0.5,11.3,2.3,3.6,0.9,2.7,1.2,1.5,0.9,7.4,1.8,10.1,1.2,5.5,1.1,3.3,1.0,20.8,3.1,9.6,1.3,7.6,1.4,5.7,1.3,15.7,2.8,13,1.4,10.9,1.4,8.1,1.2,16.8,2.7,19.6,1.4,21.5,1.8,23.1,2.1,16,2.4,15.5,1.5,18.7,1.9,21.4,2.1,7.2,1.9,15.1,1.2,19.9,1.7,24.1,2.1,2.6,0.8,4.5,0.8,5.3,0.8,6.7,1.0,1.5,0.9,3.5,0.6,4.5,0.8,5.4,1.0,0.6,0.3,60365,1952,73379,2105,82492,1857,30664,2116,73617,2216,85632,2914,96372,2834,40700,2288,22,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.6,(X),0500000US27131,27131,51740,151,68.9,1.3,64.5,1.4,6.3,1.1,33390,809,1863,4964,658,3272,1391,525,1464,2243,11513,2246,1314,1128,0.45658014427450233,0.02422881102126385,0.05579514824797844,0.14866726564839772,0.019706498951781972,0.09799341120095838,0.04165917939502845,0.015723270440251572,0.04384546271338724,0.06717580113806529,0.34480383348307875,0.06726564839772387,0.039353099730458224,0.033782569631626236
